code_voie;no_voie;code_id_commune;voie;code_departement;commune;type_de_voie;code_postal
5500;15;61;VARLET;2;SAINT QUENTIN;RUE;2100.0
800;2;62;FERNAND MARQUIGNY;2;SOISSONS;PL;2200.0
110;36;63;DU MOULIN BOTTE;2;COURMELLES;RUE;2200.0
1660;12;62;DES PAVEURS;2;SOISSONS;RUE;2200.0
1130;2;62;JEANNE D ARC;2;SOISSONS;BD;2200.0
1082;2;62;JEAN DELAPLACE;2;SOISSONS;RUE;2200.0
2180;1;62;DE LA SURCHETTE;2;SOISSONS;RUE;2200.0
1830;18;62;QUINQUET;2;SOISSONS;RUE;2200.0
115;1;64;DU PONT DE LA TOURNELLE;2;VIC SUR AISNE;RUE;2290.0
50;7;64;DE FONTENOY;2;VIC SUR AISNE;RUE;2290.0
B054;;65;LA FOSSE SALMON;2;VILLERS-COTTERETS;;2600.0
6;19;66;SAINT DENIS;2;LARGNY SUR AUTOMNE;RUE;2600.0
615;3;65;ROGER SALENGRO;2;VILLERS-COTTERETS;RUE;2600.0
330;18;62;DU CHAMP BOUILLANT;2;SOISSONS;RUE;2200.0
1910;3;62;DE LA RESISTANCE;2;SOISSONS;RUE;2200.0
1760;14;62;PORTE CROUY;2;SOISSONS;RUE;2200.0
A040;2;67;DE LA QUINCY;2;NANTEUIL LA FOSSE;CHT;2880.0
270;8;68;PETITE RUE SAINT VINCENT;2;VAILLY-SUR-AISNE;PTR;2370.0
70;2;65;DE BAPAUME;2;VILLERS-COTTERETS;RUE;2600.0
1192;10;62;DE LAON;2;SOISSONS;PL;2200.0
950;1;62;DES GRAVIERS;2;SOISSONS;RUE;2200.0
330;15;62;DU CHAMP BOUILLANT;2;SOISSONS;RUE;2200.0
1490;20;62;NOTRE DAME;2;SOISSONS;RUE;2200.0
20;17;65;ALEXANDRE DUMAS;2;VILLERS-COTTERETS;RUE;2600.0
40;5;69;FERNAND BAZIN;2;COEUVRES ET VALSERY;RUE;2600.0
170;5;65;DU DOCTEUR MOUFLIER;2;VILLERS-COTTERETS;PL;2600.0
760;2;62;EDOUARD BRANLY;2;SOISSONS;BD;2200.0
760;2;62;EDOUARD BRANLY;2;SOISSONS;BD;2200.0
1192;4;62;DE LAON;2;SOISSONS;PL;2200.0
360;16;70;D OULCHY LE CHATEAU;2;BELLEU;RUE;2200.0
2210;12;62;THIERS;2;SOISSONS;AV;2200.0
1122;4;62;JEAN MOULIN;2;SOISSONS;RUE;2200.0
1760;3;62;PORTE CROUY;2;SOISSONS;RUE;2200.0
170;5;65;DU DOCTEUR MOUFLIER;2;VILLERS-COTTERETS;PL;2600.0
890;30;62;DU GENERAL DE GAULLE;2;SOISSONS;AV;2200.0
710;9;65;VICTOR HUGO;2;VILLERS-COTTERETS;RUE;2600.0
302;41;65;DU GRAND MONTOIR;2;VILLERS-COTTERETS;RUE;2600.0
1540;7;62;DE PANLEU;2;SOISSONS;RUE;2200.0
890;30;62;DU GENERAL DE GAULLE;2;SOISSONS;AV;2200.0
1192;10;62;DE LAON;2;SOISSONS;PL;2200.0
40;5;69;FERNAND BAZIN;2;COEUVRES ET VALSERY;RUE;2600.0
760;2;62;EDOUARD BRANLY;2;SOISSONS;BD;2200.0
760;2;62;EDOUARD BRANLY;2;SOISSONS;BD;2200.0
1130;22;62;JEANNE D ARC;2;SOISSONS;BD;2200.0
814;12;71;DE LA MARE AUX CANES;2;CHATEAU THIERRY;AV;2400.0
640;3;71;DE L HOTEL DE VILLE;2;CHATEAU THIERRY;PL;2400.0
590;50;71;GRANDE RUE;2;CHATEAU THIERRY;GR;2400.0
A047;1;71;RENOIR;2;CHATEAU THIERRY;RES;2400.0
160;2;72;PAUL CLAUDEL;2;FERE EN TARDENOIS;RUE;2130.0
950;22;73;DE LA FRATERNITE;3;MOULINS;RUE;3000.0
720;2;73;DENAIN;3;MOULINS;RUE;3000.0
950;22;73;DE LA FRATERNITE;3;MOULINS;RUE;3000.0
950;22;73;DE LA FRATERNITE;3;MOULINS;RUE;3000.0
459;14;73;CHARLES PEGUY;3;MOULINS;RUE;3000.0
A063;4;74;PARC MONTFAULT;3;YZEURE;RES;3400.0
2170;11;73;DU VERT GALANT;3;MOULINS;RUE;3000.0
1320;16;74;DU PRE DE MOLLES;3;YZEURE;IMP;3400.0
990;84;74;DE LYON;3;YZEURE;RTE;3400.0
865;3;74;JACQUES VINCENT;3;YZEURE;RUE;3400.0
1010;24;73;GASPARD ROUX;3;MOULINS;RUE;3000.0
815;1;75;DU DRAPEAU;3;CUSSET;AV;3300.0
1710;71;76;JEAN JAURES;3;VICHY;RUE;3200.0
2160;2;76;MONTIGNAC;3;VICHY;RUE;3200.0
2290;2;76;DU 11 NOVEMBRE;3;VICHY;RUE;3200.0
1040;10;76;DUCHON;3;VICHY;RUE;3200.0
1600;4;76;HUBERT COLOMBIER;3;VICHY;RUE;3200.0
