no_disposition;date_mutation;valeur_fonciere
1;2020-06-18;147500
1;2020-06-11;113300
1;2020-06-11;439200
1;2020-06-17;277000
1;2020-06-25;85500
1;2020-01-10;172020
1;2020-01-08;415000
1;2020-01-08;214700
1;2020-01-10;421420
1;2020-01-16;635000
1;2020-01-10;171600
1;2020-01-13;278800
1;2020-01-15;183750
1;2020-01-17;435000
1;2020-01-17;111755
1;2020-02-04;124500
1;2020-01-23;121000
1;2020-01-29;84500
1;2020-01-21;407500
1;2020-02-11;96300
1;2020-01-31;341000
1;2020-01-29;115200
1;2020-01-31;559900
1;2020-02-07;257500
1;2020-01-30;50400
1;2020-02-11;187440
1;2020-02-06;157700
1;2020-02-26;129450
1;2020-02-14;584000
1;2020-02-10;111600
1;2020-02-12;92000
1;2020-02-10;104000
1;2020-02-25;186000
2;2020-02-11;244000
1;2020-02-26;283500
1;2020-02-24;124720
1;2020-02-27;192500
1;2020-02-13;103000
1;2020-03-03;156750
1;2020-03-10;120200
1;2020-02-28;36000
1;2020-02-17;111594
1;2020-02-28;611284
1;2020-03-03;57000
1;2020-02-29;88000
1;2020-03-02;173000
1;2020-02-21;143730
1;2020-03-09;65000
1;2020-03-17;308200
1;2020-03-04;486200
1;2020-02-27;161000
1;2020-03-11;207000
1;2020-03-11;70000
1;2020-03-18;87000
1;2020-03-16;353000
1;2020-03-12;77020
1;2020-03-02;112200
1;2020-02-26;327000
1;2020-03-16;119550
1;2020-03-11;148500
1;2020-02-27;485000
1;2020-03-31;78000
1;2020-03-16;657000
1;2020-03-06;187000
1;2020-03-26;141000
1;2020-03-31;250693
1;2020-03-13;355730
1;2020-03-16;900000
1;2020-03-16;122000
1;2020-03-20;404070
1;2020-03-23;304015
1;2020-03-17;208000
1;2020-02-21;480000
1;2020-03-27;170500
1;2020-04-06;253000
1;2020-04-10;289150
1;2020-04-09;74300
1;2020-04-10;275150
1;2020-04-29;230549
1;2020-05-12;307500
1;2020-04-23;550000
1;2020-05-12;148000
1;2020-04-22;199990
1;2020-05-05;113000
1;2020-05-13;209000
1;2020-05-07;302000
1;2020-05-18;289000
1;2020-05-19;188000
1;2020-05-19;51500
1;2020-05-12;149570
1;2020-05-13;202000
1;2020-05-25;309000
1;2020-05-15;395000
1;2020-05-14;94000
1;2020-05-25;660000
1;2020-05-26;96500
1;2020-05-18;136205
1;2020-05-18;158000
1;2020-05-15;305343.5
1;2020-05-20;180740
1;2020-05-20;213000
1;2020-05-20;144000
1;2020-05-20;505000
1;2020-05-28;83000
1;2020-05-29;563000
1;2020-05-19;363000
1;2020-05-20;350710
1;2020-06-08;394000
1;2020-05-28;288000
1;2020-05-26;71000
1;2020-05-27;138000
1;2020-06-05;142400
1;2020-05-15;159500
1;2020-05-14;89000
1;2020-05-28;165000
1;2020-06-12;339000
1;2020-06-02;350000
1;2020-06-04;48600
1;2020-05-26;197000
1;2020-06-02;114000
1;2020-05-18;48000
1;2020-05-26;232800
1;2020-06-10;219400
1;2020-06-10;342500
1;2020-06-09;196000
1;2020-06-04;119000
1;2020-06-02;110000
1;2020-06-08;105000
1;2020-06-04;130000
1;2020-06-15;132480
1;2020-05-28;136000
1;2020-06-12;314000
1;2020-05-25;575000
1;2020-05-28;127500
1;2020-06-10;133000
1;2020-05-27;349200
1;2020-06-02;129000
1;2020-06-02;123500
1;2020-06-15;233000
1;2020-06-08;183950
1;2020-06-02;464500
1;2020-06-05;293000
1;2020-06-01;118000
1;2020-06-23;102000
1;2020-06-12;1100000
1;2020-06-17;81000
1;2020-05-25;163000
1;2020-06-09;295000
1;2020-06-02;1000000
1;2020-06-03;175000
1;2020-06-10;365000
1;2020-06-08;179000
1;2020-06-09;129600
1;2020-06-04;127000
1;2020-06-12;153000
1;2020-05-29;317000
1;2020-06-15;225000
1;2020-06-23;230000
1;2020-06-22;145750
1;2020-06-09;95000
1;2020-06-10;65500
1;2020-06-15;184414
1;2020-06-16;245000
1;2020-06-22;205358
1;2020-06-05;390000
1;2020-06-12;229000
1;2020-06-23;96000
1;2020-06-25;205000
1;2020-06-18;383000
1;2020-06-15;259000
1;2020-06-25;235000
1;2020-06-26;112000
1;2020-06-23;285000
1;2020-06-05;137000
1;2020-06-25;335000
1;2020-06-12;240550
1;2020-06-25;29500
1;2020-06-17;140000
1;2020-06-25;190000
1;2020-06-18;123000
1;2020-06-29;99551
1;2020-06-23;150000
1;2020-06-26;132000
1;2020-06-29;80000
1;2020-06-23;348345
1;2020-06-24;215000
1;2020-06-23;98000
1;2020-06-25;218000
1;2020-06-29;145000
1;2020-06-26;233050
1;2020-01-06;335000
1;2020-01-20;359000
1;2020-01-16;117500
1;2020-01-14;153000
1;2020-01-09;474801
1;2020-01-14;167500
1;2020-01-14;750000
1;2020-01-06;81000
1;2020-01-07;405000
1;2020-01-15;135000
1;2020-01-16;294000
1;2020-01-07;198000
1;2020-01-14;193000
1;2020-01-09;174000
1;2020-01-21;146000
1;2020-01-31;100000
1;2020-01-21;327000
1;2020-01-07;233000
1;2020-01-28;199900
1;2020-02-07;106000
1;2020-01-17;260000
1;2020-01-23;140500
1;2020-01-24;382000
1;2020-01-24;92500
1;2020-02-07;208000
1;2020-01-20;128000
1;2020-02-13;45000
1;2020-02-04;70000
1;2020-01-29;304560
1;2020-01-17;175000
1;2020-02-11;50000
1;2020-02-19;314000
1;2020-02-13;225000
1;2020-02-14;114500
1;2020-01-27;157000
1;2020-02-18;95000
1;2020-01-30;145000
1;2020-02-11;2220000
1;2020-01-31;1100000
1;2020-02-06;169000
1;2020-02-05;300000
1;2020-02-11;420000
1;2020-02-14;104000
1;2020-02-13;137000
1;2020-02-11;152015
1;2020-01-15;117000
1;2020-02-25;228710
1;2020-02-26;114000
1;2020-02-07;273000
1;2020-02-28;55000
1;2020-02-14;22000
1;2020-02-21;258000
1;2020-02-14;183000
1;2020-02-14;620000
1;2020-02-14;325000
1;2020-02-24;109000
1;2020-03-02;342000
1;2020-02-25;50000
1;2020-02-17;118000
1;2020-02-18;376890
1;2020-02-24;325000
1;2020-02-17;262400
1;2020-03-04;70000
1;2020-03-06;131000
1;2020-02-28;124910
1;2020-03-13;142718
1;2020-03-06;332000
1;2020-03-02;339500
1;2020-03-05;175000
1;2020-03-03;104500
1;2020-03-11;486000
1;2020-03-20;166070
1;2020-03-20;159000
1;2020-03-05;680000
1;2020-03-12;185000
1;2020-03-25;139000
1;2020-03-25;147360
1;2020-03-10;201000
1;2020-03-24;80000
1;2020-03-13;232000
1;2020-03-13;60500
1;2020-03-19;480000
1;2020-03-16;32000
1;2020-03-03;98000
1;2020-03-26;101000
1;2020-03-26;202000
1;2020-03-20;205000
1;2020-03-26;240000
1;2020-03-12;268000
1;2020-03-17;243000
1;2020-03-26;74000
1;2020-04-01;275000
1;2020-04-02;287000
1;2020-04-03;217000
1;2020-04-14;147000
1;2020-04-02;216200
1;2020-04-22;387400
1;2020-04-23;179000
1;2020-04-10;250000
1;2020-04-23;410000
1;2020-02-28;215000
1;2020-04-28;160000
1;2020-03-27;364000
1;2020-04-30;125000
1;2020-04-30;355000
1;2020-04-30;310000
1;2020-02-21;101800
1;2020-03-02;193000
1;2020-03-02;140000
1;2020-05-15;570000
1;2020-05-07;149000
1;2020-05-15;65000
1;2020-05-05;223000
1;2020-04-22;157000
1;2020-05-12;221770
1;2020-05-05;219000
1;2020-05-11;635000
1;2020-03-06;120000
1;2020-03-09;130000
1;2020-05-20;114500
1;2020-05-12;93000
1;2020-04-16;255000
1;2020-03-10;133000
1;2020-03-10;50000
1;2020-05-25;167000
1;2020-05-25;811500
1;2020-05-14;102000
1;2020-05-12;180000
1;2020-03-11;489000
1;2020-05-27;136000
1;2020-03-17;151000
1;2020-05-26;8000
1;2020-03-17;263000
1;2020-05-18;187000
1;2020-05-26;121000
1;2020-06-02;335000
1;2020-05-19;205000
1;2020-05-20;148000
1;2020-05-20;250000
1;2020-05-26;177000
1;2020-05-29;90000
1;2020-05-25;135000
1;2020-05-29;172000
1;2020-04-03;165000
1;2020-04-21;103000
1;2020-06-08;130000
1;2020-04-30;285000
1;2020-05-26;198500
1;2020-05-29;122500
1;2020-06-05;202000
1;2020-05-20;500000
1;2020-05-20;560000
1;2020-04-29;119000
1;2020-04-30;128000
1;2020-04-29;154000
1;2020-05-29;292000
1;2020-05-14;110000
1;2020-05-14;311436
1;2020-06-05;425000
1;2020-05-29;165000
1;2020-06-03;350000
1;2020-06-03;238000
1;2020-05-14;92000
1;2020-06-16;282000
1;2020-06-03;475000
1;2020-06-03;84200
1;2020-06-15;111000
1;2020-06-10;240000
1;2020-06-11;112000
1;2020-06-08;103000
1;2020-06-12;197000
1;2020-05-29;150000
1;2020-05-18;435000
1;2020-06-12;450000
1;2020-06-15;210000
1;2020-06-19;122000
1;2020-06-19;105000
1;2020-06-18;117000
1;2020-06-19;145000
1;2020-05-25;381300
1;2020-05-25;79000
1;2020-05-26;235000
1;2020-06-22;285000
1;2020-06-18;242000
1;2020-06-17;395000
1;2020-06-15;90950
1;2020-06-23;60000
1;2020-06-10;260000
1;2020-06-11;140000
1;2020-05-26;125000
1;2020-05-26;345000
1;2020-06-22;290000
1;2020-05-27;170000
1;2020-06-02;185750
1;2020-06-17;200000
1;2020-06-11;113000
1;2020-06-15;138000
1;2020-01-03;420000
1;2020-01-16;161100
1;2020-01-08;195000
